饭店名,价格,类型,推荐菜
伟记奥面馆(白塔东路店),24,面馆,奥香爆鳝面
同得兴·传统苏式面馆(十全街店),69,面馆,枫镇大肉
洞庭山莊·湖景·农家菜·民宿(岱心湾小镰仓店),111,农家菜,银鱼土鸡蛋
CAPRAIBEXCOFFEE羍市(菉葭巷店),33,咖啡厅,牛奶 soe dirty
孙盛兴奥灶面馆(山塘街店),57,面馆,传统奥灶面
江南雅厨(李公堤店),268,苏浙菜,园林里的白玉方糕
SERA NERA 青酱意大利厨房(吴衙场店),127,西餐,意大利面
青鹤谷(苏州店),192,韩国料理,花肉
江南雅厨(苏州中心店),222,特色菜,园林里的白玉方糕
苏枕河精致苏帮菜 好吃不贵(山塘街店),77,苏帮菜,响油鳝糊
